ip_address,timestamp,login_status,request_type,is_anomaly_ground_truth,hour_of_day,day_of_week,is_weekend,is_off_hours,login_encoded,ip_encoded,request_encoded,anomaly_label
192.168.1.9,2024-01-07 09:32:00,success,GET,0,9,6,1,0,1,59,1,1
192.168.1.19,2024-03-08 11:40:00,success,PUT,0,11,4,0,0,1,20,3,1
192.168.1.9,2024-01-08 17:45:00,success,GET,0,17,0,0,0,1,59,1,1
192.168.1.46,2024-03-06 11:12:00,success,GET,0,11,2,0,0,1,50,1,1
192.168.1.5,2024-02-08 10:21:00,success,GET,0,10,3,0,0,1,54,1,1
192.168.1.48,2024-02-01 14:08:00,success,PUT,0,14,3,0,0,1,52,3,1
192.168.1.27,2024-03-05 10:02:00,success,GET,0,10,1,0,0,1,29,1,1
192.168.1.47,2024-01-23 12:11:00,success,GET,0,12,1,0,0,1,51,1,1
192.168.1.48,2024-01-26 08:09:00,success,GET,0,8,4,0,0,1,52,1,1
10.0.0.3,2024-02-17 09:17:00,failure,POST,1,9,5,1,0,0,3,2,-1
192.168.1.50,2024-01-22 15:32:00,success,GET,0,15,0,0,0,1,55,1,1
192.168.1.30,2024-03-25 08:18:00,success,GET,0,8,0,0,0,1,33,1,1
192.168.1.5,2024-02-26 16:06:00,success,GET,0,16,0,0,0,1,54,1,1
192.168.1.35,2024-02-16 18:59:00,success,GET,0,18,4,0,0,1,38,1,1
192.168.1.8,2024-01-20 18:23:00,success,POST,0,18,5,1,0,1,58,2,1
192.168.1.28,2024-03-17 18:46:00,success,PUT,0,18,6,1,0,1,30,3,1
192.168.1.19,2024-02-08 16:40:00,success,GET,0,16,3,0,0,1,20,1,1
192.168.1.40,2024-03-27 13:10:00,success,PUT,0,13,2,0,0,1,44,3,1
192.168.1.47,2024-01-01 11:29:00,success,GET,0,11,0,0,0,1,51,1,1
192.168.1.21,2024-03-03 09:22:00,success,POST,0,9,6,1,0,1,23,2,1
192.168.1.39,2024-02-04 16:58:00,success,GET,0,16,6,1,0,1,42,1,1
192.168.1.13,2024-03-30 08:12:00,success,GET,0,8,5,1,0,1,14,1,1
192.168.1.6,2024-03-29 16:43:00,success,PUT,0,16,4,0,0,1,56,3,1
192.168.1.2,2024-01-04 18:13:00,success,PUT,0,18,3,0,0,1,21,3,1
192.168.1.43,2024-01-01 15:21:00,success,GET,0,15,0,0,0,1,47,1,1
192.168.1.4,2024-03-27 14:33:00,success,GET,0,14,2,0,0,1,43,1,1
192.168.1.16,2024-01-29 11:39:00,success,POST,0,11,0,0,0,1,17,2,1
192.168.1.26,2024-02-02 12:38:00,failure,GET,0,12,4,0,0,0,28,1,1
192.168.1.40,2024-03-21 09:59:00,success,GET,0,9,3,0,0,1,44,1,1
192.168.1.36,2024-02-20 16:01:00,success,GET,0,16,1,0,0,1,39,1,1
192.168.1.15,2024-03-15 15:25:00,success,GET,0,15,4,0,0,1,16,1,1
192.168.1.27,2024-03-08 17:33:00,success,GET,0,17,4,0,0,1,29,1,1
192.168.1.8,2024-01-28 16:32:00,success,GET,0,16,6,1,0,1,58,1,1
192.168.1.42,2024-03-05 12:16:00,success,PUT,0,12,1,0,0,1,46,3,1
192.168.1.39,2024-01-08 14:33:00,success,GET,0,14,0,0,0,1,42,1,1
192.168.1.41,2024-01-21 16:54:00,success,GET,0,16,6,1,0,1,45,1,1
192.168.1.29,2024-02-27 13:55:00,success,PUT,0,13,1,0,0,1,31,3,1
192.168.1.45,2024-03-13 11:58:00,success,GET,0,11,2,0,0,1,49,1,1
192.168.1.7,2024-01-26 12:20:00,success,PUT,0,12,4,0,0,1,57,3,1
192.168.1.21,2024-01-08 11:51:00,success,PUT,0,11,0,0,0,1,23,3,1
192.168.1.30,2024-01-12 14:52:00,success,GET,0,14,4,0,0,1,33,1,1
192.168.1.3,2024-01-17 12:37:00,success,POST,0,12,2,0,0,1,32,2,1
192.168.1.24,2024-02-01 09:10:00,success,POST,0,9,3,0,0,1,26,2,1
192.168.1.43,2024-01-03 08:07:00,success,GET,0,8,2,0,0,1,47,1,1
192.168.1.7,2024-01-04 15:23:00,success,GET,0,15,3,0,0,1,57,1,1
192.168.1.36,2024-03-01 16:56:00,success,PUT,0,16,4,0,0,1,39,3,1
192.168.1.41,2024-03-27 09:56:00,success,GET,0,9,2,0,0,1,45,1,1
192.168.1.41,2024-01-21 10:55:00,success,POST,0,10,6,1,0,1,45,2,1
192.168.1.38,2024-02-23 10:30:00,success,PUT,0,10,4,0,0,1,41,3,1
192.168.1.44,2024-01-07 15:32:00,success,GET,0,15,6,1,0,1,48,1,1
192.168.1.18,2024-01-31 11:43:00,success,GET,0,11,2,0,0,1,19,1,1
192.168.1.45,2024-01-10 18:59:00,success,GET,0,18,2,0,0,1,49,1,1
10.0.0.1,2024-03-14 09:49:00,success,GET,1,9,3,0,0,1,0,1,-1
192.168.1.39,2024-03-01 15:11:00,success,GET,0,15,4,0,0,1,42,1,1
192.168.1.28,2024-02-11 16:44:00,success,GET,0,16,6,1,0,1,30,1,1
192.168.1.5,2024-01-10 09:38:00,success,GET,0,9,2,0,0,1,54,1,1
192.168.1.26,2024-03-12 10:24:00,success,POST,0,10,1,0,0,1,28,2,1
192.168.1.20,2024-03-06 18:05:00,success,GET,0,18,2,0,0,1,22,1,1
192.168.1.18,2024-02-10 16:12:00,success,POST,0,16,5,1,0,1,19,2,1
192.168.1.24,2024-02-07 12:29:00,success,GET,0,12,2,0,0,1,26,1,1
192.168.1.43,2024-03-23 13:15:00,success,GET,0,13,5,1,0,1,47,1,1
192.168.1.45,2024-02-06 18:28:00,success,GET,0,18,1,0,0,1,49,1,1
192.168.1.28,2024-01-20 12:57:00,failure,GET,0,12,5,1,0,0,30,1,1
192.168.1.35,2024-03-26 10:41:00,success,PUT,0,10,1,0,0,1,38,3,1
192.168.1.33,2024-03-29 14:28:00,success,GET,0,14,4,0,0,1,36,1,1
192.168.1.32,2024-01-13 11:23:00,success,GET,0,11,5,1,0,1,35,1,1
192.168.1.9,2024-03-09 08:26:00,success,PUT,0,8,5,1,0,1,59,3,1
192.168.1.43,2024-02-27 13:39:00,success,GET,0,13,1,0,0,1,47,1,1
192.168.1.24,2024-03-30 12:09:00,success,POST,0,12,5,1,0,1,26,2,1
192.168.1.35,2024-01-24 13:51:00,success,POST,0,13,2,0,0,1,38,2,1
192.168.1.16,2024-03-03 13:31:00,success,GET,0,13,6,1,0,1,17,1,1
192.168.1.39,2024-01-08 11:27:00,success,GET,0,11,0,0,0,1,42,1,1
192.168.1.27,2024-02-20 09:23:00,success,GET,0,9,1,0,0,1,29,1,1
10.0.0.1,2024-01-27 10:49:00,success,GET,1,10,5,1,0,1,0,1,-1
192.168.1.37,2024-01-03 13:11:00,success,POST,0,13,2,0,0,1,40,2,1
192.168.1.33,2024-02-03 12:03:00,success,GET,0,12,5,1,0,1,36,1,1
192.168.1.43,2024-01-05 16:09:00,success,GET,0,16,4,0,0,1,47,1,1
192.168.1.49,2024-02-23 10:35:00,success,GET,0,10,4,0,0,1,53,1,1
10.0.0.9,2024-01-02 12:57:00,failure,POST,1,12,1,0,0,0,9,2,1
192.168.1.32,2024-01-18 14:34:00,success,PUT,0,14,3,0,0,1,35,3,1
192.168.1.10,2024-03-06 12:21:00,success,GET,0,12,2,0,0,1,11,1,1
192.168.1.36,2024-03-04 11:27:00,success,PUT,0,11,0,0,0,1,39,3,1
192.168.1.35,2024-01-22 09:00:00,success,POST,0,9,0,0,0,1,38,2,1
10.0.0.5,2024-03-05 10:45:00,failure,POST,1,10,1,0,0,0,5,2,-1
192.168.1.6,2024-02-21 14:37:00,success,GET,0,14,2,0,0,1,56,1,1
192.168.1.13,2024-02-15 08:59:00,failure,GET,0,8,3,0,0,0,14,1,1
192.168.1.46,2024-01-23 18:30:00,success,GET,0,18,1,0,0,1,50,1,1
192.168.1.42,2024-03-29 14:38:00,success,GET,0,14,4,0,0,1,46,1,1
192.168.1.22,2024-02-09 12:11:00,success,POST,0,12,4,0,0,1,24,2,1
192.168.1.43,2024-03-26 09:39:00,success,GET,0,9,1,0,0,1,47,1,1
192.168.1.2,2024-01-05 12:03:00,success,POST,0,12,4,0,0,1,21,2,1
192.168.1.33,2024-03-21 11:39:00,success,GET,0,11,3,0,0,1,36,1,1
192.168.1.48,2024-01-21 15:38:00,success,GET,0,15,6,1,0,1,52,1,1
192.168.1.18,2024-01-05 18:46:00,success,PUT,0,18,4,0,0,1,19,3,1
192.168.1.21,2024-03-28 15:28:00,success,GET,0,15,3,0,0,1,23,1,1
192.168.1.24,2024-01-31 11:17:00,success,GET,0,11,2,0,0,1,26,1,1
192.168.1.25,2024-01-19 12:35:00,success,GET,0,12,4,0,0,1,27,1,1
192.168.1.20,2024-02-21 11:53:00,success,GET,0,11,2,0,0,1,22,1,1
192.168.1.45,2024-03-06 13:48:00,success,GET,0,13,2,0,0,1,49,1,1
10.0.0.9,2024-01-03 11:37:00,failure,DELETE,1,11,2,0,0,0,9,0,-1
192.168.1.11,2024-01-11 15:30:00,success,GET,0,15,3,0,0,1,12,1,1
192.168.1.10,2024-01-01 14:56:00,success,GET,0,14,0,0,0,1,11,1,1
192.168.1.43,2024-01-24 17:31:00,success,GET,0,17,2,0,0,1,47,1,1
192.168.1.36,2024-01-10 13:09:00,failure,POST,0,13,2,0,0,0,39,2,1
192.168.1.35,2024-02-03 09:54:00,success,GET,0,9,5,1,0,1,38,1,1
192.168.1.36,2024-03-01 13:03:00,success,GET,0,13,4,0,0,1,39,1,1
192.168.1.25,2024-02-25 08:48:00,failure,GET,0,8,6,1,0,0,27,1,1
192.168.1.7,2024-03-18 18:21:00,failure,PUT,0,18,0,0,0,0,57,3,-1
192.168.1.38,2024-01-15 15:01:00,success,GET,0,15,0,0,0,1,41,1,1
192.168.1.43,2024-01-09 12:43:00,success,GET,0,12,1,0,0,1,47,1,1
192.168.1.29,2024-03-02 13:56:00,success,PUT,0,13,5,1,0,1,31,3,1
192.168.1.25,2024-03-30 10:31:00,success,GET,0,10,5,1,0,1,27,1,1
192.168.1.29,2024-02-24 08:22:00,success,GET,0,8,5,1,0,1,31,1,1
192.168.1.8,2024-03-16 09:47:00,success,GET,0,9,5,1,0,1,58,1,1
192.168.1.14,2024-03-10 14:20:00,success,POST,0,14,6,1,0,1,15,2,1
192.168.1.22,2024-01-04 16:24:00,success,GET,0,16,3,0,0,1,24,1,1
192.168.1.19,2024-03-09 18:55:00,success,POST,0,18,5,1,0,1,20,2,1
192.168.1.4,2024-02-02 16:17:00,failure,GET,0,16,4,0,0,0,43,1,1
10.0.0.5,2024-02-15 10:09:00,failure,POST,1,10,3,0,0,0,5,2,-1
192.168.1.45,2024-01-10 09:13:00,success,POST,0,9,2,0,0,1,49,2,1
192.168.1.31,2024-03-14 14:25:00,success,POST,0,14,3,0,0,1,34,2,1
192.168.1.12,2024-01-26 18:01:00,success,GET,0,18,4,0,0,1,13,1,1
192.168.1.40,2024-01-08 14:16:00,success,PUT,0,14,0,0,0,1,44,3,1
192.168.1.29,2024-02-20 10:06:00,success,POST,0,10,1,0,0,1,31,2,1
192.168.1.28,2024-01-19 15:02:00,success,PUT,0,15,4,0,0,1,30,3,1
192.168.1.42,2024-03-11 16:04:00,success,POST,0,16,0,0,0,1,46,2,1
192.168.1.17,2024-01-24 14:17:00,success,GET,0,14,2,0,0,1,18,1,1
192.168.1.4,2024-03-15 10:23:00,success,PUT,0,10,4,0,0,1,43,3,1
192.168.1.41,2024-02-09 13:27:00,success,GET,0,13,4,0,0,1,45,1,1
192.168.1.20,2024-01-08 17:59:00,success,GET,0,17,0,0,0,1,22,1,1
192.168.1.29,2024-01-08 10:07:00,success,PUT,0,10,0,0,0,1,31,3,1
192.168.1.1,2024-01-28 14:05:00,success,GET,0,14,6,1,0,1,10,1,1
192.168.1.49,2024-02-23 12:46:00,failure,GET,0,12,4,0,0,0,53,1,1
192.168.1.43,2024-01-12 13:45:00,success,PUT,0,13,4,0,0,1,47,3,1
192.168.1.49,2024-01-07 08:52:00,success,POST,0,8,6,1,0,1,53,2,1
192.168.1.28,2024-03-20 16:24:00,failure,PUT,0,16,2,0,0,0,30,3,1
192.168.1.31,2024-01-17 09:33:00,success,GET,0,9,2,0,0,1,34,1,1
192.168.1.20,2024-01-09 16:14:00,success,PUT,0,16,1,0,0,1,22,3,1
192.168.1.5,2024-02-04 14:32:00,success,GET,0,14,6,1,0,1,54,1,1
10.0.0.10,2024-01-18 09:21:00,failure,POST,1,9,3,0,0,0,1,2,-1
192.168.1.12,2024-02-04 14:31:00,success,PUT,0,14,6,1,0,1,13,3,1
192.168.1.4,2024-01-30 08:40:00,failure,GET,0,8,1,0,0,0,43,1,1
192.168.1.3,2024-03-22 12:26:00,success,GET,0,12,4,0,0,1,32,1,1
192.168.1.40,2024-03-11 18:40:00,success,GET,0,18,0,0,0,1,44,1,1
192.168.1.50,2024-01-26 15:21:00,success,PUT,0,15,4,0,0,1,55,3,1
192.168.1.21,2024-02-04 12:13:00,success,PUT,0,12,6,1,0,1,23,3,1
192.168.1.5,2024-03-08 12:59:00,success,POST,0,12,4,0,0,1,54,2,1
192.168.1.30,2024-03-07 15:24:00,success,GET,0,15,3,0,0,1,33,1,1
192.168.1.50,2024-01-21 17:36:00,success,POST,0,17,6,1,0,1,55,2,1
192.168.1.23,2024-02-29 17:31:00,success,GET,0,17,3,0,0,1,25,1,1
192.168.1.7,2024-02-28 15:06:00,success,POST,0,15,2,0,0,1,57,2,1
192.168.1.9,2024-02-05 11:30:00,success,GET,0,11,0,0,0,1,59,1,1
192.168.1.17,2024-02-22 14:26:00,success,GET,0,14,3,0,0,1,18,1,1
192.168.1.50,2024-01-22 18:31:00,success,GET,0,18,0,0,0,1,55,1,1
192.168.1.24,2024-02-08 10:46:00,failure,PUT,0,10,3,0,0,0,26,3,1
192.168.1.39,2024-01-29 11:46:00,success,GET,0,11,0,0,0,1,42,1,1
192.168.1.13,2024-03-29 10:14:00,success,PUT,0,10,4,0,0,1,14,3,1
192.168.1.46,2024-01-24 15:24:00,failure,POST,0,15,2,0,0,0,50,2,1
192.168.1.9,2024-01-03 13:24:00,success,PUT,0,13,2,0,0,1,59,3,1
192.168.1.14,2024-03-26 13:07:00,success,GET,0,13,1,0,0,1,15,1,1
192.168.1.35,2024-01-14 11:36:00,success,GET,0,11,6,1,0,1,38,1,1
192.168.1.16,2024-01-12 10:12:00,success,GET,0,10,4,0,0,1,17,1,1
192.168.1.25,2024-01-12 18:36:00,success,PUT,0,18,4,0,0,1,27,3,1
192.168.1.11,2024-01-06 18:29:00,success,GET,0,18,5,1,0,1,12,1,1
192.168.1.10,2024-02-26 15:23:00,success,POST,0,15,0,0,0,1,11,2,1
192.168.1.28,2024-02-23 15:39:00,success,POST,0,15,4,0,0,1,30,2,1
192.168.1.24,2024-01-14 13:08:00,success,PUT,0,13,6,1,0,1,26,3,1
192.168.1.17,2024-03-03 16:34:00,success,GET,0,16,6,1,0,1,18,1,1
192.168.1.3,2024-01-19 17:28:00,success,GET,0,17,4,0,0,1,32,1,1
192.168.1.42,2024-01-28 11:57:00,success,POST,0,11,6,1,0,1,46,2,1
192.168.1.21,2024-01-12 08:42:00,success,PUT,0,8,4,0,0,1,23,3,1
192.168.1.40,2024-02-29 16:48:00,success,GET,0,16,3,0,0,1,44,1,1
192.168.1.39,2024-01-01 18:12:00,success,GET,0,18,0,0,0,1,42,1,1
192.168.1.2,2024-01-29 16:56:00,success,GET,0,16,0,0,0,1,21,1,1
192.168.1.17,2024-01-05 09:31:00,success,PUT,0,9,4,0,0,1,18,3,1
192.168.1.19,2024-01-13 09:53:00,success,GET,0,9,5,1,0,1,20,1,1
192.168.1.8,2024-02-10 10:03:00,success,POST,0,10,5,1,0,1,58,2,1
192.168.1.36,2024-02-08 15:12:00,success,GET,0,15,3,0,0,1,39,1,1
192.168.1.7,2024-03-07 17:54:00,failure,PUT,0,17,3,0,0,0,57,3,1
192.168.1.12,2024-03-21 09:09:00,success,POST,0,9,3,0,0,1,13,2,1
192.168.1.12,2024-02-28 10:26:00,success,POST,0,10,2,0,0,1,13,2,1
192.168.1.14,2024-03-13 09:56:00,success,GET,0,9,2,0,0,1,15,1,1
192.168.1.49,2024-02-27 14:22:00,success,POST,0,14,1,0,0,1,53,2,1
192.168.1.47,2024-02-05 09:56:00,success,GET,0,9,0,0,0,1,51,1,1
192.168.1.6,2024-03-29 10:16:00,failure,PUT,0,10,4,0,0,0,56,3,1
192.168.1.9,2024-03-02 12:53:00,failure,PUT,0,12,5,1,0,0,59,3,-1
192.168.1.9,2024-02-13 18:37:00,success,GET,0,18,1,0,0,1,59,1,1
192.168.1.20,2024-01-23 11:47:00,success,GET,0,11,1,0,0,1,22,1,1
10.0.0.10,2024-02-07 12:18:00,failure,DELETE,1,12,2,0,0,0,1,0,-1
192.168.1.21,2024-01-24 12:33:00,success,GET,0,12,2,0,0,1,23,1,1
192.168.1.24,2024-02-20 09:03:00,failure,GET,0,9,1,0,0,0,26,1,1
192.168.1.16,2024-03-15 17:35:00,success,POST,0,17,4,0,0,1,17,2,1
192.168.1.49,2024-03-08 17:47:00,success,GET,0,17,4,0,0,1,53,1,1
192.168.1.38,2024-03-21 09:44:00,success,PUT,0,9,3,0,0,1,41,3,1
192.168.1.19,2024-01-09 10:31:00,success,GET,0,10,1,0,0,1,20,1,1
192.168.1.8,2024-03-26 16:36:00,success,GET,0,16,1,0,0,1,58,1,1
192.168.1.25,2024-02-25 10:27:00,success,GET,0,10,6,1,0,1,27,1,1
10.0.0.9,2024-03-19 08:54:00,failure,POST,1,8,1,0,0,0,9,2,1
192.168.1.40,2024-02-06 11:23:00,success,GET,0,11,1,0,0,1,44,1,1
192.168.1.23,2024-01-29 14:51:00,success,GET,0,14,0,0,0,1,25,1,1
192.168.1.6,2024-02-05 18:06:00,success,POST,0,18,0,0,0,1,56,2,1
192.168.1.3,2024-02-21 13:03:00,failure,POST,0,13,2,0,0,0,32,2,1
192.168.1.45,2024-01-29 13:29:00,success,GET,0,13,0,0,0,1,49,1,1
10.0.0.2,2024-03-13 11:25:00,success,GET,1,11,2,0,0,1,2,1,-1
192.168.1.1,2024-01-26 08:55:00,success,PUT,0,8,4,0,0,1,10,3,1
192.168.1.45,2024-02-12 13:38:00,success,GET,0,13,0,0,0,1,49,1,1
192.168.1.9,2024-01-03 08:01:00,success,GET,0,8,2,0,0,1,59,1,1
192.168.1.18,2024-03-15 09:29:00,success,GET,0,9,4,0,0,1,19,1,1
192.168.1.2,2024-01-12 18:41:00,success,GET,0,18,4,0,0,1,21,1,1
192.168.1.22,2024-03-17 17:07:00,success,POST,0,17,6,1,0,1,24,2,1
192.168.1.43,2024-01-19 11:58:00,failure,PUT,0,11,4,0,0,0,47,3,1
192.168.1.16,2024-02-01 18:23:00,success,POST,0,18,3,0,0,1,17,2,1
192.168.1.20,2024-01-10 14:40:00,success,PUT,0,14,2,0,0,1,22,3,1
192.168.1.8,2024-02-02 11:17:00,success,GET,0,11,4,0,0,1,58,1,1
192.168.1.41,2024-02-05 16:00:00,success,PUT,0,16,0,0,0,1,45,3,1
192.168.1.44,2024-01-04 09:28:00,success,GET,0,9,3,0,0,1,48,1,1
192.168.1.33,2024-02-11 16:34:00,success,GET,0,16,6,1,0,1,36,1,1
10.0.0.7,2024-03-17 13:21:00,failure,DELETE,1,13,6,1,0,0,7,0,-1
192.168.1.18,2024-02-29 09:25:00,success,GET,0,9,3,0,0,1,19,1,1
192.168.1.34,2024-03-10 09:09:00,success,PUT,0,9,6,1,0,1,37,3,1
192.168.1.28,2024-02-02 16:25:00,success,POST,0,16,4,0,0,1,30,2,1
192.168.1.9,2024-03-06 08:41:00,failure,POST,0,8,2,0,0,0,59,2,1
192.168.1.49,2024-01-10 16:24:00,success,POST,0,16,2,0,0,1,53,2,1
192.168.1.6,2024-02-04 08:57:00,success,GET,0,8,6,1,0,1,56,1,1
192.168.1.13,2024-02-12 17:19:00,success,POST,0,17,0,0,0,1,14,2,1
192.168.1.6,2024-03-16 14:43:00,success,PUT,0,14,5,1,0,1,56,3,1
192.168.1.33,2024-02-14 11:52:00,success,POST,0,11,2,0,0,1,36,2,1
192.168.1.26,2024-02-17 13:45:00,success,GET,0,13,5,1,0,1,28,1,1
192.168.1.5,2024-02-27 17:46:00,success,PUT,0,17,1,0,0,1,54,3,1
192.168.1.36,2024-02-07 15:03:00,success,POST,0,15,2,0,0,1,39,2,1
192.168.1.30,2024-01-31 16:09:00,success,GET,0,16,2,0,0,1,33,1,1
192.168.1.10,2024-01-09 16:35:00,success,GET,0,16,1,0,0,1,11,1,1
192.168.1.27,2024-01-24 11:29:00,success,GET,0,11,2,0,0,1,29,1,1
192.168.1.20,2024-03-01 10:48:00,success,PUT,0,10,4,0,0,1,22,3,1
192.168.1.45,2024-03-25 09:21:00,success,GET,0,9,0,0,0,1,49,1,1
192.168.1.44,2024-01-12 13:43:00,success,GET,0,13,4,0,0,1,48,1,1
192.168.1.31,2024-03-15 18:59:00,success,GET,0,18,4,0,0,1,34,1,1
192.168.1.5,2024-02-05 10:08:00,success,PUT,0,10,0,0,0,1,54,3,1
192.168.1.4,2024-03-18 09:47:00,failure,GET,0,9,0,0,0,0,43,1,1
192.168.1.28,2024-02-23 13:39:00,success,PUT,0,13,4,0,0,1,30,3,1
192.168.1.38,2024-01-08 12:03:00,success,GET,0,12,0,0,0,1,41,1,1
192.168.1.33,2024-02-20 14:08:00,success,PUT,0,14,1,0,0,1,36,3,1
192.168.1.48,2024-02-08 11:38:00,success,PUT,0,11,3,0,0,1,52,3,1
192.168.1.16,2024-02-16 09:05:00,failure,GET,0,9,4,0,0,0,17,1,1
192.168.1.33,2024-02-02 09:53:00,success,POST,0,9,4,0,0,1,36,2,1
192.168.1.28,2024-02-05 15:39:00,success,PUT,0,15,0,0,0,1,30,3,1
192.168.1.9,2024-02-22 11:10:00,success,PUT,0,11,3,0,0,1,59,3,1
192.168.1.14,2024-01-14 12:45:00,success,GET,0,12,6,1,0,1,15,1,1
192.168.1.18,2024-02-05 15:26:00,success,GET,0,15,0,0,0,1,19,1,1
192.168.1.31,2024-03-27 09:21:00,success,PUT,0,9,2,0,0,1,34,3,1
192.168.1.8,2024-03-10 18:03:00,success,GET,0,18,6,1,0,1,58,1,1
192.168.1.17,2024-01-30 10:22:00,success,POST,0,10,1,0,0,1,18,2,1
192.168.1.18,2024-01-02 16:28:00,success,GET,0,16,1,0,0,1,19,1,1
192.168.1.19,2024-02-02 14:30:00,success,POST,0,14,4,0,0,1,20,2,1
192.168.1.2,2024-03-03 13:24:00,success,POST,0,13,6,1,0,1,21,2,1
10.0.0.8,2024-01-30 08:44:00,failure,POST,1,8,1,0,0,0,8,2,-1
192.168.1.33,2024-02-17 13:58:00,success,PUT,0,13,5,1,0,1,36,3,1
192.168.1.6,2024-03-12 13:19:00,success,PUT,0,13,1,0,0,1,56,3,1
192.168.1.5,2024-02-16 10:15:00,success,GET,0,10,4,0,0,1,54,1,1
192.168.1.8,2024-02-06 10:35:00,success,GET,0,10,1,0,0,1,58,1,1
192.168.1.48,2024-03-28 16:47:00,success,PUT,0,16,3,0,0,1,52,3,1
192.168.1.10,2024-02-05 17:14:00,success,POST,0,17,0,0,0,1,11,2,1
192.168.1.3,2024-03-22 18:40:00,failure,GET,0,18,4,0,0,0,32,1,1
192.168.1.15,2024-02-05 18:46:00,success,GET,0,18,0,0,0,1,16,1,1
192.168.1.2,2024-01-15 12:46:00,success,GET,0,12,0,0,0,1,21,1,1
192.168.1.19,2024-02-15 09:05:00,failure,POST,0,9,3,0,0,0,20,2,1
192.168.1.34,2024-02-22 16:44:00,success,GET,0,16,3,0,0,1,37,1,1
192.168.1.21,2024-03-29 14:56:00,success,GET,0,14,4,0,0,1,23,1,1
192.168.1.49,2024-02-29 14:24:00,success,POST,0,14,3,0,0,1,53,2,1
192.168.1.32,2024-03-27 14:13:00,failure,PUT,0,14,2,0,0,0,35,3,1
192.168.1.15,2024-02-04 10:56:00,success,GET,0,10,6,1,0,1,16,1,1
192.168.1.9,2024-02-20 17:58:00,success,GET,0,17,1,0,0,1,59,1,1
192.168.1.49,2024-02-15 14:12:00,failure,PUT,0,14,3,0,0,0,53,3,1
192.168.1.36,2024-03-19 13:23:00,success,PUT,0,13,1,0,0,1,39,3,1
192.168.1.11,2024-02-23 14:19:00,success,GET,0,14,4,0,0,1,12,1,1
192.168.1.50,2024-03-29 10:51:00,success,GET,0,10,4,0,0,1,55,1,1
192.168.1.5,2024-03-20 10:51:00,success,GET,0,10,2,0,0,1,54,1,1
